[LOG]
124=18/03/2010 11:35:21 AM:  START: EventFinishedCountingOnlineAccounts
125=18/03/2010 11:35:21 AM:  EventFinishedCountingOnlineAccounts: Difference in accounts detected.
126=18/03/2010 11:35:21 AM:  Processor: 5
127=18/03/2010 11:35:21 AM:  START: GetAccounts
128=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 0
129=18/03/2010 11:35:21 AM:  Adding account to array: 'Admin'
130=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 1
131=18/03/2010 11:35:21 AM:  Adding account to array: 'bradensage'
132=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 2
133=18/03/2010 11:35:21 AM:  Adding account to array: 'GM'
134=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 3
135=18/03/2010 11:35:21 AM:  Adding account to array: 'Josh'
136=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 4
137=18/03/2010 11:35:21 AM:  Adding account to array: 'melee'
138=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 5
139=18/03/2010 11:35:21 AM:  Adding account to array: 'Mike'
140=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 6
141=18/03/2010 11:35:21 AM:  Adding account to array: 'rick'
142=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 7
143=18/03/2010 11:35:21 AM:  Adding account to array: 'Ripper 98'
144=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 8
145=18/03/2010 11:35:21 AM:  Adding account to array: 'Rob'
146=18/03/2010 11:35:21 AM:  GetAccounts: Adding to array: 9
147=18/03/2010 11:35:21 AM:  Adding account to array: 'thunder915'
148=18/03/2010 11:35:21 AM:  END: GetAccounts
149=18/03/2010 11:35:21 AM:  END: UpdateOnlineAccountStatus
150=18/03/2010 11:35:21 AM:  END: EventFinishedCountingOnlineAccounts
151=18/03/2010 11:35:22 AM:  Checking port: 3724
152=18/03/2010 11:35:22 AM:  Checking port: 8085
153=18/03/2010 11:35:22 AM:  ReportPort: 3724 - True
155=18/03/2010 11:35:22 AM:  CheckSchedules
156=18/03/2010 11:35:22 AM:  Processor: 22
157=18/03/2010 11:35:22 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
158=18/03/2010 11:35:23 AM:  CheckSchedules
159=18/03/2010 11:35:23 AM:  Processor: 7
160=18/03/2010 11:35:24 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
161=18/03/2010 11:35:24 AM:  CheckSchedules
162=18/03/2010 11:35:24 AM:  Processor: 5
163=18/03/2010 11:35:25 AM:  START: GetNumAccounts
164=18/03/2010 11:35:25 AM:  END: GetNumAccounts
165=18/03/2010 11:35:25 AM:  START: EventFinishedCountingAccounts: -1:10
166=18/03/2010 11:35:25 AM:  CheckSchedules
167=18/03/2010 11:35:25 AM:  START: GetAccounts
168=18/03/2010 11:35:25 AM:  Processor: 12
169=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 0
170=18/03/2010 11:35:25 AM:  Adding account to array: 'Admin'
171=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 1
172=18/03/2010 11:35:25 AM:  Adding account to array: 'bradensage'
173=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 2
174=18/03/2010 11:35:25 AM:  Adding account to array: 'GM'
175=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 3
176=18/03/2010 11:35:25 AM:  Adding account to array: 'Josh'
177=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 4
178=18/03/2010 11:35:25 AM:  Adding account to array: 'melee'
179=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 5
180=18/03/2010 11:35:25 AM:  Adding account to array: 'Mike'
181=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 6
182=18/03/2010 11:35:25 AM:  Adding account to array: 'rick'
183=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 7
184=18/03/2010 11:35:25 AM:  Adding account to array: 'Ripper 98'
185=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 8
186=18/03/2010 11:35:25 AM:  Adding account to array: 'Rob'
187=18/03/2010 11:35:25 AM:  GetAccounts: Adding to array: 9
188=18/03/2010 11:35:25 AM:  Adding account to array: 'thunder915'
189=18/03/2010 11:35:25 AM:  END: GetAccounts
190=18/03/2010 11:35:25 AM:  EventFinishedCountingAccounts: SET REBuildAccountList = True
191=18/03/2010 11:35:25 AM:  END: EventFinishedCountingAccounts: 10:10
192=18/03/2010 11:35:25 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
193=18/03/2010 11:35:25 AM:  CheckAccountUpdateStatus: REBuildAccountList Requested.
194=18/03/2010 11:35:26 AM:  START: GenerateAccountList
195=18/03/2010 11:35:26 AM:  START: CheckIfBanned
196=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
197=18/03/2010 11:35:26 AM:  END: CheckIfBanned: Admin = False
198=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
199=18/03/2010 11:35:26 AM:  END: CheckIfBanned: bradensage = False
200=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
201=18/03/2010 11:35:26 AM:  END: CheckIfBanned: GM = False
202=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
203=18/03/2010 11:35:26 AM:  END: CheckIfBanned: Josh = False
204=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
205=18/03/2010 11:35:26 AM:  END: CheckIfBanned: melee = False
206=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
207=18/03/2010 11:35:26 AM:  END: CheckIfBanned: Mike = False
208=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
209=18/03/2010 11:35:26 AM:  END: CheckIfBanned: rick = False
210=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
211=18/03/2010 11:35:26 AM:  END: CheckIfBanned: Ripper 98 = False
212=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
213=18/03/2010 11:35:26 AM:  END: CheckIfBanned: Rob = False
214=18/03/2010 11:35:26 AM:  START: CheckIfBanned - for loop
215=18/03/2010 11:35:26 AM:  END: CheckIfBanned: thunder915 = False
216=18/03/2010 11:35:26 AM:  START: SetAccountLevel
217=18/03/2010 11:35:26 AM:  END: SetAccountLevel
218=18/03/2010 11:35:26 AM:  END: GenerateAccountList
219=18/03/2010 11:35:26 AM:  END: GenerateAccountList
220=18/03/2010 11:35:26 AM:  CheckSchedules
221=18/03/2010 11:35:26 AM:  Processor: 20
222=18/03/2010 11:35:26 AM:  END: GetNumOnline
223=18/03/2010 11:35:26 AM:  START: EventFinishedCountingOnlineAccounts
224=18/03/2010 11:35:26 AM:  END: EventFinishedCountingOnlineAccounts
225=18/03/2010 11:35:27 AM:  GetPID: C:\Sources\TriniGuard3\TriniGuard\bin\Debug\TriniGuard3.EXE
226=18/03/2010 11:35:27 AM:  Backing up World Database for Realm: Freq WoW
227=18/03/2010 11:35:27 AM:  StartBackup: world
228=18/03/2010 11:35:27 AM:  PurgeOldBackup: world
